,Name,City,Country,IATA,Latitude,Longitude,Altitude,Type
693,Amatopo Airstrip,Amatopo,Suriname,\N,3.547885,-57.633958,0.0,airport
694,Poeketi Airstrip,Poeketi,Suriname,\N,4.126389,-54.623611,0.0,airport
695,Godo Holo Airstrip,Pikienkondre of Miranda,Suriname,\N,4.0583,-54.7861,280.0,airport
696,Pimenta Bueno Airport,Pimenta Bueno,Brazil,PBQ,-11.641599655151367,-61.17910003662109,682.0,airport
697,Ariquemes Airport,ARIQUEMES,Brazil,\N,-9.884721755981444,-63.04888916015625,530.0,airport
698,Fazenda Spartacus Airport,COLNIZA,Brazil,\N,-24.0,-48.60833358764648,2346.0,airport
699,Fazenda Mequens Airport,ALTA FLORESTA D'OESTE,Brazil,\N,-13.061944007873535,-62.25749969482422,552.0,airport
700,Prainha Airport,APUI,Brazil,\N,-7.17287015914917,-59.839599609375,197.0,airport
701,Mostardas Airport,SANTO ANTONIO DO MATUPI,Brazil,\N,-31.103599548339844,-50.910301208496094,59.0,airport
702,Santo Domingo Airport,CONSELVAN,Brazil,\N,-33.65639877319336,-71.6144027709961,246.0,airport
703,Fazenda Várzea Funda Airport,PRIMAVERA D'OESTE,Brazil,\N,-16.58361053466797,-57.73222351074219,709.0,airport
704,Primavera do Leste Airport,PRIMAVERA DO LESTE,Brazil,\N,-15.565555572509766,-54.33777618408203,2149.0,airport
705,Comte. Rolim Adolfo Amaro–Jundiaí State Airport,Jundiai,Brazil,\N,-23.180369,-46.944408,2484.0,airport
706,Helisul IV Heliport,Foz Do Iguacu,Brazil,\N,-25.613056182861328,-54.39805603027344,676.0,airport
707,Fazenda Jatobasso Airport,JARU,Brazil,\N,-22.42916679382324,-55.53333282470703,2152.0,airport
708,FIC Heliport,MACHADINHO D'OESTE,Brazil,\N,-22.711389541625977,-47.141109466552734,1985.0,airport
709,Fazenda São Nicolau Airport,COTRIGUACU,Brazil,\N,-9.8644437789917,-58.229167938232,738.0,airport
710,Sunchales Aeroclub Airport,Sunchales,Argentina,NCJ,-30.9575,-61.5283,311.0,airport
711,Augusto Severo Airport,Natal,Brazil,\N,-5.91141986847,-35.2476997375,169.0,airport
712,Flores Airport,MANAUS,Brazil,\N,-3.0727779865264893,-60.02111053466797,203.0,airport
713,La Araucanía Airport,Temuco,Chile,ZCO,-38.9259,-72.6515,333.0,airport
714,Fazenda Uiapuru Airport,COMODORO,Brazil,\N,-13.663888931274414,-56.002220153808594,1519.0,airport
715,Fazenda Kajussol Airport,Alta Floresta D'Oeste,Brazil,\N,-11.9647216796875,-61.686668395996094,636.0,airport
716,Costa Marques Airport,COSTA MARQUES,Brazil,CQS,-12.421099662780762,-64.25160217285156,555.0,airport
717,Desierto de Atacama Airport,Copiapo,Chile,CPO,-27.2611999512,-70.7791976929,670.0,airport
